,u,NR,menge,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
4,K,4,225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,675.0,0.0,0.0,0.0,0.0
5,D,5,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,450.0,0.0,0.0,0.0,0.0
6,H,6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,300.0,0.0,0.0,0.0,0.0
7,K,7,225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,675.0,0.0,0.0,0.0,0.0
8,D,8,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,450.0,0.0,0.0,0.0,0.0
9,H,9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,300.0,0.0,0.0,0.0,0.0
10,K,10,225,0.0,0.0,0.0,0.0,0.0,0.0,450.0,225.0,675.0,0.0,0.0,675.0,450.0,0.0,0.0
11,D,11,150,0.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,450.0,0.0,0.0,450.0,300.0,0.0,0.0
12,H,12,100,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,300.0,0.0,0.0,300.0,200.0,0.0,0.0
13,K,13,225,0.0,0.0,0.0,0.0,0.0,0.0,450.0,225.0,675.0,0.0,0.0,675.0,450.0,0.0,0.0
14,D,14,150,0.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,450.0,0.0,0.0,450.0,300.0,0.0,0.0
15,H,15,100,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,300.0,0.0,0.0,300.0,200.0,0.0,0.0
16,KDH,16,475,0.0,0.0,0.0,0.0,0.0,950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1425.0,0.0
17,KDH,17,475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1425.0
18,K,18,225,0.0,0.0,0.0,0.0,0.0,675.0,450.0,675.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0
19,D,19,150,0.0,0.0,0.0,0.0,0.0,450.0,300.0,450.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
20,H,20,100,0.0,0.0,0.0,0.0,0.0,300.0,200.0,300.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0
26,KDH,26,475,0.0,0.0,0.0,0.0,0.0,0.0,950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1425.0
49,K,49,225,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,D,54,150,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,H,29,100,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,K,50,225,0.0,1125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,D,55,150,0.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,H,30,100,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,K,51,225,0.0,0.0,1125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,D,56,150,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,H,31,100,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,K,1,225,0.0,0.0,0.0,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,D,2,150,0.0,0.0,0.0,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,H,3,100,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
timeneed,,,,2850.0,2375.0,2625.0,3100.0,0.0,2375.0,3800.0,2875.0,3800.0,3800.0,2850.0,2850.0,1900.0,1425.0,2850.0
rüstzeit,,,,60.0,60.0,60.0,60.0,0.0,60.0,400.0,360.0,360.0,120.0,120.0,120.0,120.0,20.0,40.0
timeneed_p-1,,,,0.0,0.0,0.0,630.0,0.0,0.0,75.0,70.0,101.0,820.0,0.0,0.0,0.0,0.0,240.0
rüstzeit_p-1,,,,0.0,500.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0
total_need,,,,2910.0,2935.0,2685.0,3790.0,0.0,2435.0,4325.0,3305.0,4311.0,4740.0,2970.0,2970.0,2020.0,1445.0,3180.0
Überstunden_total,,,,510.0,535.0,285.0,0,0,35.0,0,905.0,0,0,570.0,570.0,0,0,780.0
überstunden_tag,,,,102.0,107.0,57.0,0,0,7.0,0,181.0,0,0,114.0,114.0,0,0,156.0
Schichten,,,,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1
